unique_id,mass,x_pos,y_pos,z_pos,vel_x,vel_y,vel_z,frame,dt
23,2.1785448240521582e+30,740351087303.1525,758425889126.6351,722930640698.9664,230241.4886266899,203499.9295295828,214455.75011255298,0,10000
24,1.8979204957759255e+30,583874815950.2778,624578336299.379,708002200707.3483,208868.7414747103,335025.5540869591,179079.03522112887,0,10000
25,2.3284662038781186e+30,912266981128.6744,631286208079.8633,1026569698187.5343,210233.76173602667,257961.06116514892,169473.6071764303,0,10000
26,2.0026020213280354e+30,986762601097.806,585225762306.0247,621535847917.0864,217355.23252366378,185613.34707561188,279288.0230026383,0,10000
27,1.6937600155200524e+30,810348521424.7317,848337397322.7903,715474179968.0244,212888.44364375007,249465.33043713652,235903.5036427859,0,10000
28,2.028630375967836e+30,721153013199.111,961888395419.8823,879912850688.0892,235068.6714650747,330798.0892854043,302340.3888806554,0,10000
29,2.0454570381811001e+30,706008626088.4325,888864407589.926,808449001496.3398,322579.4350008582,329139.1229099423,351681.9002793571,0,10000
30,2.0457126188612606e+30,416168867722.205,771089990403.6869,882629258836.346,282337.1849179155,320058.126125111,274982.8508133492,0,10000
31,1.7128307702798794e+30,819753382843.1979,922433681253.7471,428414083663.39905,155933.21774128085,252529.97855822594,267532.52554761304,0,10000
32,1.946173349294171e+30,454275490934.85864,931914447844.4977,524710529634.2273,310143.24155285984,183520.98771313782,202172.06147028727,0,10000
33,1.8994343752281883e+30,801199489131.2395,898216540201.1666,514870725455.9615,246346.5341087611,250526.57777324927,154783.52640821182,0,10000
34,2.1230666663899666e+30,953448533119.4425,660046629464.788,739191765338.4415,345067.1675141114,189375.61982904532,300484.0260525959,0,10000
35,2.266370796912977e+30,642766399895.544,851943585982.7305,867591126036.3385,222043.5356515937,227876.5331463811,286806.45703991555,0,10000
36,1.687573034351687e+30,797774972998.9208,643633380798.2803,656205242267.373,284619.70563029544,233714.02264013875,296727.7433456007,0,10000
37,2.1257303792993804e+30,786972067436.7772,436616815629.3101,896406165405.2896,230046.6929012957,333187.6427064579,254383.125916694,0,10000
38,1.8597524970580695e+30,738618584174.3583,615838258069.5756,862708272469.5476,194153.86321207156,267839.33205984056,270902.2106494271,0,10000
39,2.1039222598142603e+30,685731313851.6459,829657008347.8998,886122609766.0378,234122.58148626404,240412.5130892379,238466.68039004534,0,10000
40,2.0087014527486914e+30,970480027270.1268,738243806443.5316,679652717146.8851,287415.73239177954,280340.74458061176,303004.7302966336,0,10000
41,2.1320320457147786e+30,924962814001.9014,730811210622.0518,508727637766.2421,267270.53359415923,255192.35241350395,147648.54156664712,0,10000
42,1.8237272068093458e+30,433458531124.8004,810714750004.7428,727260339808.6028,171556.12282896042,326853.7817257165,228366.91821345023,0,10000
43,2.1846448746719844e+30,725272864629.9667,598444600181.2716,677467464872.9268,267225.0458341526,230545.12238599642,315078.17155178916,0,10000
44,2.0377871021502278e+30,930289802019.6692,814144217262.7843,776237217635.929,175531.2610122115,313900.4321784811,330410.31446791533,0,10000
45,1.998986525239271e+30,648133998941.5985,965883440554.2363,407482639760.4547,256439.0571617278,129982.74921660867,270895.2680065702,0,10000
46,1.9974460189996926e+30,845495521914.3218,594406040982.5756,632830679033.4833,185936.31084855937,220166.6806596837,195457.74287073314,0,10000
47,2.1636790402370174e+30,803635486159.0283,966849609123.4072,728554695729.0408,176975.10564246806,276038.852778854,228258.21952477348,0,10000
48,1.941001544587835e+30,808548027014.5143,766914342494.863,638589288321.1846,278592.3279012327,383212.4910558688,273680.2844967835,0,10000
49,1.6979310643829645e+30,840207264031.3842,955142050778.7927,517727104447.1061,296356.2020764812,247102.6916567774,319077.74394030677,0,10000
50,1.6744748777192586e+30,652117966946.9775,732937827433.7716,958575099493.7289,241058.24671491934,274609.59505216364,197441.08029165404,0,10000
51,2.1053276914114282e+30,602639577525.4044,538708094404.6297,767832467041.6702,161734.57394590913,310823.93025017035,188498.86077077236,0,10000
52,2.2578208437472535e+30,704193427573.5005,662472182943.3911,757572928814.0356,242427.26679487913,212635.5053784963,302385.69241815276,0,10000
53,2.2779122803252064e+30,723263782053.9819,489929571912.71674,929561386226.8652,246953.5682393607,377666.78007757233,150119.17486097926,0,10000
54,1.9488657972578583e+30,694144570796.032,671951862878.6476,963172085132.8184,285175.18289035396,254777.9512247404,254428.7187588465,0,10000
55,2.0422962612769373e+30,532022199564.9428,788888916098.4292,849120057282.724,264226.152026911,379620.4989571254,308470.6346320295,0,10000
56,1.654260319538274e+30,476628645986.9269,836450035975.3204,777347493578.8083,227066.92320383643,170003.4621199592,324224.2203066529,0,10000
57,2.142716803770098e+30,735079998077.2361,467199354024.71545,686645322475.6356,258146.1256994586,240129.21853267172,260727.79303976923,0,10000
