unique_id,mass,x_pos,y_pos,z_pos,vel_x,vel_y,vel_z,frame,dt
17,7.958082257702984e+29,818258743392.4775,654160300616.103,590270868158.8058,343580.50456623774,202216.9015116022,213662.57430640672,0,10000
18,8.837604395673788e+29,1008960869287.6232,897624496323.2678,804710845566.5944,258619.5290597586,212624.0038144369,277909.5096496569,0,10000
19,7.035517439357949e+28,544492549619.60724,798989422053.843,876101777058.7231,296502.9292951119,232422.39355016148,194779.89191959816,0,10000
20,2.0778938644058387e+24,766135925926.7874,502005963860.3316,1022793838175.0629,266635.3878954121,240606.2306824427,155467.05064355413,0,10000
21,9.763192137929595e+29,502759133653.628,402622492853.6132,516253317264.5181,320882.3154738207,297464.73977981077,359020.80730484147,0,10000
22,7.527846424835972e+29,917511219379.7552,620567954954.9774,813778028504.8079,188153.60468062662,301825.3435220736,235171.24179973407,0,10000
23,1.1687652686457385e+29,723519804174.2279,987049601956.207,1027803072563.316,185339.54149212412,282946.9787483893,212922.4252293606,0,10000
24,6.403136487029289e+28,998637695388.9275,729577032677.7417,948506189902.5406,214626.758266914,295370.5042242546,251761.10908413964,0,10000
25,9.272655586665027e+29,807720795360.3995,507671613707.83405,754371141383.9697,205318.40472617067,216034.5697827351,250711.46803139368,0,10000
26,3.757127072952408e+26,842756238016.497,751814506711.9089,737248754599.8308,279077.9484088566,259990.86707474152,323735.2814365903,0,10000
27,6.657001902738885e+29,602632486178.9556,787992475861.9515,921470120824.0482,302826.1999793498,259532.73655555036,326047.19956709555,0,10000
28,4.36895154028035e+29,658793680914.6989,497646741989.06,535400288506.8028,208623.34988414025,248426.3466518378,239858.86271684043,0,10000
29,5.9135960570734835e+29,895372542195.7191,738158261500.6265,702229173597.8793,226162.27570335806,271425.10507112584,219635.40826714452,0,10000
30,1.514478523682627e+29,938326189393.3577,673154518721.9647,748211369827.5665,245340.76946809844,227468.00500741033,383614.0783773742,0,10000
31,3.783689472535154e+27,832508787632.4703,712510571870.7911,764896255720.206,268323.1710190469,196766.90794589792,241445.86990433623,0,10000
32,3.140422759362241e+26,669024797942.0453,548680594094.1688,934165272743.7826,210924.97412451493,225625.8648144951,368623.1781947748,0,10000
33,8.022115926542723e+28,701090075255.8408,757706696399.8264,765046627187.0225,285822.2106242165,143089.68958947246,275808.59470427677,0,10000
